State,District,Latitude,Longitude,"Crop And Animal Production, Hunting And Related Service Activities",Other Mining And Quarrying,Food Products,Food Products,Food Products,Food Products,Food Products,Food Products,Food Products,Food Products,Beverages,Tobacco Products,Textiles,Textiles,Wearing Apparel,Wearing Apparel,Wearing Apparel,Leather And Related Products,Leather And Related Products,Wood And Products Of Wood And Cork,Wood And Products Of Wood And Cork,Paper And Paper Products,Printing And Reproduction Of Recorded Media,Printing And Reproduction Of Recorded Media,Coke And Refined Petroleum Products,Coke And Refined Petroleum Products,Chemicals And Chemical Products,Chemicals And Chemical Products,Chemicals And Chemical Products,"Pharmaceuticals, Medicinal Chemical And Botanical Products",Rubber And Plastics Products,Rubber And Plastics Products,Other Non-Metallic Mineral Products,Other Non-Metallic Mineral Products,Basic Metals,Basic Metals,Basic Metals,Fabricated Metal Products,Fabricated Metal Products,Fabricated Metal Products,"Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products","Computer, Electronic And Optical Products",Electrical Equipment,Electrical Equipment,Electrical Equipment,Electrical Equipment,Electrical Equipment,Electrical Equipment,Machinery And Equipment N.E.C.,Machinery And Equipment N.E.C.,"Motor Vehicles, Trailers And Semi-Trailers","Motor Vehicles, Trailers And Semi-Trailers","Motor Vehicles, Trailers And Semi-Trailers",Other Transport Equipment,Other Transport Equipment,Other Transport Equipment,Other Transport Equipment,Other Transport Equipment,Furniture,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Repair And Installation Of Machinery And Equipment,Repair And Installation Of Machinery And Equipment,"Electricity, Gas, Steam And Air Conditioning Supply","Electricity, Gas, Steam And Air Conditioning Supply","Electricity, Gas, Steam And Air Conditioning Supply","Water Collection, Treatment And Supply",Sewerage,"Waste Collection, Treatment And Disposal Activities","Waste Collection, Treatment And Disposal Activities","Waste Collection, Treatment And Disposal Activities",Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles,Warehousing And Support Activities For Transportation,Publishing Activities,"Motion Picture, Video And Television Programme Production","Motion Picture, Video And Television Programme Production","Other Professional, Scientific And Technical Activities","Office Administrative, Office Support And Other Business Support Activities",Repair Of Computers And Personal And Household Goods,Repair Of Computers And Personal And Household Goods,Other Personal Service Activities
,,,,Support Activities To Agriculture And Post-Harvest Crop Activities,Mining And Quarrying N.E.C.,Processing And Preserving Of Meat,"Processing And Preserving Of Fish, Crustaceans And Molluscs",Processing And Preserving Of Fruit And Vegetables, Vegetable And Animal Oils And Fats, Dairy Products," Grain Mill Products, Starches And Starch Products", Other Food Products, Prepared Animal Feeds, Beverages, Tobacco Products,"Spinning, Weaving And Finishing Of Textiles", Other Textiles," Wearing Apparel, Except Fur Apparel", Articles Of Fur, Knitted And Crocheted Apparel,"Tanning And Dressing Of Leather;  Luggage, Handbags, Saddlery And Harness; Dressing And Dyeing Of Fur", Footwear,Sawmilling And Planing Of Wood," Products Of Wood, Cork, Straw And Plaiting Materials", Paper And Paper Products,Printing And Service Activities Related To Printing,Reproduction Of Recorded Media, Coke Oven Products, Refined Petroleum Products," Basic Chemicals, Fertilizer And Nitrogen Compounds, Plastics And Synthetic Rubber In Primary Forms", Other Chemical Products, Man-Made Fibres," Pharmaceuticals, Medicinal Chemical And Botanical Products", Rubber Products, Plastics Products, Glass And Glass Products, Non-Metallic Mineral Products N.E.C., Basic Iron And Steel, Basic Precious And Other Non-Ferrous Metals,Casting Of Metals," Structural Metal Products, Tanks, Reservoirs And Steam Generators", Weapons And Ammunition, Other Fabricated Metal Products; Metalworking Service Activities, Electronic Components, Computers And Peripheral Equipment, Communication Equipment, Consumer Electronics," Measuring, Testing, Navigating And Control Equipment; Watches And Clocks"," Irradiation, Electromedical And Electrotherapeutic Equipment", Optical Instruments And Equipment, Magnetic And Optical Media," Electric Motors, Generators, Transformers And Electricity Distribution And Control Apparatus", Batteries And Accumulators, Wiring And Wiring Devices, Electric Lighting Equipment, Domestic Appliances, Other Electrical Equipment, General Purpose Machinery, Special-Purpose Machinery, Motor Vehicles, Bodies (Coachwork) For Motor Vehicles;  Trailers And Semi-Trailers, Parts And Accessories For Motor Vehicles,Building Of Ships And Boats, Railway Locomotives And Rolling Stock, Air And Spacecraft And Related Machinery, Military Fighting Vehicles, Transport Equipment N.E.C., Furniture," Jewellery, Bijouterie And Related Articles", Musical Instruments, Sports Goods, Games And Toys, Medical And Dental Instruments And Supplies,Other Manufacturing N.E.C.,"Repair Of Fabricated Metal Products, Machinery And Equipment",Installation Of Industrial Machinery And Equipment,"Electric Power Generation, Transmission And Distribution", Gas; Distribution Of Gaseous Fuels Through Mains,Steam And Air Conditioning Supply,"Water Collection, Treatment And Supply",Sewerage,Waste Collection,Waste Treatment And Disposal,Materials Recovery,Maintenance And Repair Of Motor Vehicles,"Sale, Maintenance And Repair Of Motorcycles And Related Parts And Accessories",Warehousing And Storage,"Publishing Of Books, Periodicals And Other Publishing Activities","Motion Picture, Video And Television Programme Activities",Sound Recording And Music Publishing Activities,Photographic Activities,Business Support Service Activities N.E.C.,Repair Of Computers And Communication Equipment,Repair Of Personal And Household Goods,Other Personal Service Activities
A&N Islands,NICOBER,7.158125935,93.78552753,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&N Islands,SOUTH ANDAMANS,10.75302822,92.50143399,,,,,1,3,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Andhra Pradesh,ALLURI SITHARAMA RAJU,17.771784,82.129763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,ANAKAPALLI,17.684351,83.021491,,,,4,,1,5,9,46,2,16,,4,21,10,,,,,2,10,12,,,5,5,23,15,,136,1,28,2,63,12,6,4,41,,6,,,,,,,,,3,,,,,,1,2,,,2,,,,,,6,,,,,1,2,2,,,,1,2,1,,4,2,9,,2,,,,,1,,,2
Andhra Pradesh,ANANTHAPURAMU,14.67526,77.587293,3,,,,4,24,8,58,30,,3,,8,,10,,,,,,1,,2,,,2,6,1,,1,7,24,,122,14,,1,1,,9,,,,,,,,,3,1,1,,,,2,1,,,,,,,,,,,,,,,,,,3,,,,,,2,4,22,3,6,4,,,,2,,,
Andhra Pradesh,ANNAMAYYA,13.943671,78.860353,2,,,,,,32,48,19,1,6,16,1,,2,,,,,1,,,,,,,6,1,,1,,19,,220,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,2,,,,,,,,1,,2,,,,,,,,
Andhra Pradesh,BAPATLA,15.898151,80.465022,3,,,12,1,6,20,164,30,3,4,13,22,3,,,,,,1,,9,1,,,,,1,,2,,9,,556,1,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,1,2,,,36,,,,,,,,
Andhra Pradesh,CHITTOOR,13.48799207,78.83839435,,,2,,61,2,62,31,24,8,9,9,27,1,11,,,1,1,,,14,3,,,,2,9,,2,6,35,,401,3,,1,5,,4,2,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,12,,9,,,,,,,,
Andhra Pradesh,DR.B.R.AMBEDKAR KONASEEMA,16.576537,82.003079,,,,6,,10,2,137,5,1,4,,4,14,,,,,,,,17,,,,2,1,2,,1,,5,,1,2,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,5,,,,,,,,,3,,3,,,,,,,,,,,,,,,,
